Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
Narsingi,Villa,3,2201,47.57,0.02,1991,Unfurnished,18,10,34,10,5,High,Yes,No,"Pool, Clubhouse, Garden, Gym",North,Broker,Under_Construction
Film Nagar,Independent House,3,1251,413.42,0.33,2013,Unfurnished,9,26,12,5,5,High,No,No,"Gym, Garden, Pool, Clubhouse",South,Broker,Under_Construction
Financial District,Apartment,2,4448,319.99,0.07,2010,Semi-furnished,10,16,15,5,10,Low,No,No,"Clubhouse, Playground, Pool, Garden",North,Builder,Under_Construction
Madhapur,Villa,2,4112,493.52,0.12,1993,Unfurnished,8,9,32,7,2,High,Yes,No,"Gym, Playground, Clubhouse, Pool",South,Builder,Under_Construction
Narsingi,Independent House,2,4855,379.25,0.08,2011,Unfurnished,26,30,14,6,6,Low,No,No,Garden,East,Builder,Under_Construction
Gachibowli,Apartment,2,1472,67.16,0.05,1994,Semi-furnished,1,12,31,3,6,Low,No,No,"Clubhouse, Garden, Pool, Playground",West,Builder,Ready_to_Move
Khanapur,Villa,5,4480,492.99,0.11,2023,Semi-furnished,14,3,2,6,7,Medium,Yes,No,"Pool, Garden",South,Builder,Ready_to_Move
Financial District,Independent House,5,3732,409.24,0.11,2021,Semi-furnished,26,17,4,4,5,Low,Yes,Yes,"Playground, Clubhouse, Gym, Pool",East,Builder,Under_Construction
Hitech City,Villa,1,3862,74.42,0.02,1990,Semi-furnished,3,8,35,8,1,High,No,No,"Clubhouse, Pool, Gym",South,Broker,Under_Construction
Hitech City,Villa,5,4228,499.83,0.12,2017,Unfurnished,4,22,8,8,3,High,Yes,No,"Playground, Gym, Pool",West,Broker,Under_Construction
Madhapur,Villa,5,2067,171.67,0.08,2023,Unfurnished,26,17,2,4,5,Medium,Yes,No,"Garden, Pool",West,Builder,Ready_to_Move
Nanakramguda,Apartment,3,2514,197.94,0.08,2004,Semi-furnished,19,12,21,1,9,Medium,No,Yes,Garden,East,Builder,Ready_to_Move
Khanapur,Villa,4,4580,229.05,0.05,2013,Furnished,9,22,12,8,10,Medium,No,Yes,"Garden, Gym, Clubhouse, Pool",East,Owner,Ready_to_Move
Jubilee Hills,Apartment,2,1311,483.83,0.37,2021,Semi-furnished,23,1,4,6,9,High,No,No,"Gym, Garden, Pool",West,Broker,Under_Construction
Jubilee Hills,Apartment,2,4260,445.84,0.1,1995,Semi-furnished,10,17,30,2,10,High,No,Yes,"Garden, Gym, Pool, Clubhouse",East,Builder,Under_Construction
Jubilee Hills,Apartment,5,2353,133.99,0.06,1993,Unfurnished,13,5,32,10,7,Low,No,No,"Pool, Garden, Gym, Clubhouse, Playground",East,Builder,Under_Construction
Madhapur,Villa,5,1101,194.52,0.18,1994,Semi-furnished,14,25,31,1,4,High,No,Yes,Gym,South,Builder,Under_Construction
Begumpet,Independent House,4,4551,141.72,0.03,2023,Unfurnished,27,28,2,10,6,Low,Yes,No,Clubhouse,South,Owner,Ready_to_Move
Financial District,Independent House,4,2213,62.5,0.03,2004,Semi-furnished,8,6,21,4,8,Medium,No,Yes,"Clubhouse, Pool, Gym, Playground",East,Broker,Ready_to_Move
Gachibowli,Apartment,5,2970,446.26,0.15,2002,Semi-furnished,22,30,23,7,8,High,No,Yes,"Playground, Clubhouse, Pool, Gym, Garden",South,Owner,Ready_to_Move
Film Nagar,Villa,3,4823,174.61,0.04,1996,Unfurnished,29,23,29,4,4,Low,Yes,Yes,"Garden, Playground, Clubhouse, Pool, Gym",South,Builder,Ready_to_Move
Financial District,Apartment,4,3155,371.12,0.12,1993,Unfurnished,14,1,32,2,5,High,No,Yes,"Garden, Clubhouse, Playground, Pool",East,Owner,Under_Construction
Hitech City,Villa,2,2294,388.84,0.17,2004,Furnished,14,9,21,7,8,High,No,No,"Pool, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move
Madhapur,Apartment,3,1889,490.94,0.26,1994,Semi-furnished,30,12,31,9,2,High,No,Yes,"Garden, Clubhouse, Pool, Playground, Gym",North,Builder,Under_Construction
Raidurg,Villa,5,2435,19.1,0.01,2013,Semi-furnished,26,7,12,4,6,Medium,No,No,"Clubhouse, Garden, Playground",East,Owner,Under_Construction
Hitech City,Independent House,1,1412,119.76,0.08,2006,Furnished,7,10,19,7,9,Medium,Yes,Yes,"Clubhouse, Gym, Playground, Pool",West,Broker,Under_Construction
Hitech City,Independent House,5,1041,450.41,0.43,2022,Semi-furnished,27,11,3,8,2,High,Yes,No,"Gym, Garden, Playground, Clubhouse",South,Builder,Under_Construction
Kokapet,Apartment,4,2248,263.42,0.12,1994,Furnished,11,14,31,7,6,High,No,Yes,"Playground, Gym",West,Owner,Ready_to_Move
Kokapet,Apartment,3,2686,137.66,0.05,2000,Furnished,6,19,25,4,8,Medium,Yes,Yes,"Garden, Clubhouse, Playground, Gym",East,Builder,Ready_to_Move
Kokapet,Villa,1,674,201.63,0.3,2018,Furnished,12,28,7,2,1,High,Yes,Yes,"Pool, Clubhouse",East,Owner,Under_Construction
Hitech City,Villa,5,4496,232.06,0.05,2007,Semi-furnished,22,29,18,2,7,Medium,No,No,"Pool, Playground, Gym",South,Builder,Ready_to_Move
Banjara Hills,Apartment,3,3104,430.58,0.14,2011,Semi-furnished,26,3,14,8,10,Medium,Yes,Yes,"Gym, Clubhouse, Garden",West,Owner,Under_Construction
Financial District,Independent House,1,2731,168.05,0.06,1997,Unfurnished,3,14,28,8,6,High,Yes,No,"Clubhouse, Pool, Playground, Garden, Gym",South,Builder,Under_Construction
Kavuri Hills,Independent House,3,1269,471.81,0.37,2000,Semi-furnished,5,8,25,1,10,Medium,Yes,No,"Playground, Garden, Pool",West,Broker,Ready_to_Move
Jubilee Hills,Independent House,1,4888,118.12,0.02,1994,Semi-furnished,24,1,31,7,5,Low,Yes,No,Gym,East,Builder,Under_Construction
Jubilee Hills,Villa,3,1806,33.33,0.02,2022,Unfurnished,8,27,3,8,7,High,Yes,No,Garden,West,Owner,Under_Construction
Film Nagar,Villa,2,3698,56.8,0.02,2017,Furnished,20,15,8,9,4,High,Yes,No,"Clubhouse, Playground, Garden",North,Broker,Under_Construction
Film Nagar,Apartment,3,763,315.26,0.41,2017,Semi-furnished,10,29,8,9,1,High,Yes,Yes,"Pool, Playground, Clubhouse",West,Owner,Under_Construction
Madhapur,Villa,1,4501,460.09,0.1,2000,Furnished,26,22,25,6,1,Medium,Yes,No,"Gym, Playground, Clubhouse, Pool, Garden",North,Owner,Under_Construction
Jubilee Hills,Villa,2,4936,273.41,0.06,1992,Semi-furnished,14,28,33,2,5,Medium,No,Yes,"Pool, Playground, Clubhouse, Garden",North,Owner,Ready_to_Move
Narsingi,Apartment,2,4698,226.17,0.05,1994,Unfurnished,19,14,31,10,4,Low,No,No,Garden,West,Owner,Ready_to_Move
Financial District,Independent House,1,2352,319.53,0.14,1999,Furnished,4,16,26,5,6,Medium,Yes,No,"Clubhouse, Gym, Pool, Playground, Garden",East,Owner,Ready_to_Move
Banjara Hills,Villa,4,2223,40.81,0.02,2017,Semi-furnished,27,8,8,5,9,Low,No,Yes,"Pool, Gym",South,Builder,Ready_to_Move
Somajiguda,Independent House,1,4269,441.03,0.1,1995,Semi-furnished,21,28,30,4,10,High,No,No,"Garden, Gym, Playground, Clubhouse",East,Broker,Under_Construction
Gachibowli,Independent House,3,2829,208.46,0.07,2005,Semi-furnished,5,11,20,1,1,High,No,Yes,"Garden, Clubhouse, Playground, Gym, Pool",East,Owner,Under_Construction
Kokapet,Apartment,1,1716,222.77,0.13,2002,Semi-furnished,25,22,23,7,9,Low,Yes,No,"Gym, Garden, Playground",North,Broker,Under_Construction
Nanakramguda,Villa,2,2723,104.39,0.04,1996,Unfurnished,27,22,29,8,6,High,No,No,"Garden, Gym",East,Builder,Ready_to_Move
Khanapur,Independent House,2,1276,450.93,0.35,2005,Furnished,6,14,20,4,9,Low,No,Yes,"Playground, Pool, Garden, Clubhouse",West,Broker,Ready_to_Move
Raidurg,Independent House,2,2260,56.69,0.03,2019,Furnished,12,5,6,10,5,Low,Yes,Yes,"Pool, Clubhouse, Garden, Gym, Playground",South,Owner,Under_Construction
Banjara Hills,Apartment,1,2031,371.59,0.18,2002,Semi-furnished,30,27,23,9,3,High,No,No,"Playground, Pool, Clubhouse",South,Builder,Ready_to_Move
Somajiguda,Villa,4,616,67.46,0.11,2014,Furnished,25,28,11,4,4,High,Yes,No,"Gym, Playground, Pool",South,Builder,Under_Construction
Jubilee Hills,Independent House,4,2933,404.66,0.14,2012,Furnished,25,14,13,1,9,Medium,No,Yes,Playground,West,Owner,Ready_to_Move
Gachibowli,Villa,1,711,178.89,0.25,2002,Unfurnished,20,23,23,9,6,Low,No,Yes,"Gym, Playground, Pool, Garden",West,Owner,Ready_to_Move
Kavuri Hills,Villa,3,1643,357.66,0.22,2018,Semi-furnished,16,1,7,5,2,High,No,Yes,"Playground, Clubhouse, Garden, Gym, Pool",South,Builder,Ready_to_Move
Begumpet,Villa,5,1059,323.27,0.31,1992,Unfurnished,7,11,33,1,9,High,No,No,Garden,South,Builder,Under_Construction
Kokapet,Villa,2,758,496.63,0.66,2021,Semi-furnished,19,20,4,9,10,High,Yes,No,"Playground, Clubhouse",North,Broker,Under_Construction
Film Nagar,Villa,4,2558,413.59,0.16,2023,Furnished,3,12,2,1,8,Medium,No,Yes,Garden,East,Builder,Under_Construction
Raidurg,Apartment,1,4347,128.16,0.03,2001,Semi-furnished,25,7,24,2,10,Medium,No,No,"Gym, Playground, Clubhouse, Garden",South,Owner,Ready_to_Move
Raidurg,Apartment,2,3377,424.3,0.13,2007,Semi-furnished,16,2,18,7,2,Low,No,Yes,"Pool, Playground, Garden, Gym",South,Builder,Under_Construction
Kokapet,Independent House,4,1912,409.25,0.21,1996,Semi-furnished,5,15,29,2,10,High,No,No,"Pool, Garden, Gym",South,Owner,Ready_to_Move
Somajiguda,Apartment,4,4346,330.87,0.08,2010,Unfurnished,15,24,15,6,10,Medium,No,No,"Clubhouse, Gym",East,Owner,Under_Construction
Narsingi,Independent House,2,2084,394.15,0.19,2000,Unfurnished,21,6,25,10,8,Low,No,No,"Clubhouse, Gym",West,Broker,Under_Construction
Somajiguda,Villa,3,504,54.39,0.11,2014,Unfurnished,8,1,11,6,7,High,No,Yes,Playground,West,Builder,Under_Construction
Banjara Hills,Villa,2,3168,71.09,0.02,1990,Semi-furnished,1,22,35,6,4,Medium,No,No,"Gym, Playground, Clubhouse, Pool, Garden",South,Owner,Under_Construction
Hitech City,Apartment,3,2495,90.42,0.04,2017,Unfurnished,22,24,8,3,2,Medium,No,No,"Gym, Garden, Pool, Playground, Clubhouse",East,Builder,Under_Construction
Somajiguda,Apartment,2,2555,379.85,0.15,2015,Semi-furnished,29,19,10,1,7,Low,No,Yes,Pool,East,Builder,Under_Construction
Kokapet,Apartment,5,2716,30.1,0.01,1999,Furnished,7,8,26,9,1,High,No,Yes,"Gym, Pool",West,Owner,Under_Construction
Kavuri Hills,Independent House,2,1585,321.73,0.2,2019,Unfurnished,25,13,6,10,2,Low,Yes,No,"Gym, Clubhouse, Garden",West,Owner,Under_Construction
Kokapet,Villa,1,1896,38.99,0.02,2016,Furnished,9,7,9,4,4,Medium,Yes,No,"Playground, Gym, Garden",West,Broker,Ready_to_Move
Somajiguda,Villa,5,4602,48.0,0.01,1995,Furnished,18,10,30,5,8,Low,No,Yes,"Pool, Playground, Clubhouse, Garden, Gym",West,Builder,Under_Construction
Banjara Hills,Independent House,2,1627,72.64,0.04,1993,Unfurnished,15,12,32,5,10,Low,Yes,Yes,"Gym, Garden, Clubhouse",North,Builder,Under_Construction
Jubilee Hills,Villa,3,1386,157.99,0.11,2002,Furnished,7,5,23,3,1,Low,Yes,No,"Garden, Pool, Clubhouse, Gym",North,Builder,Ready_to_Move
Begumpet,Villa,5,1389,355.24,0.26,2000,Unfurnished,17,27,25,3,7,Medium,No,No,"Gym, Pool, Playground, Clubhouse",South,Owner,Ready_to_Move
Banjara Hills,Independent House,1,3795,497.69,0.13,2002,Furnished,22,19,23,7,9,Low,No,No,"Garden, Clubhouse",West,Broker,Ready_to_Move
Gachibowli,Apartment,5,4235,268.57,0.06,2017,Unfurnished,18,5,8,2,10,High,Yes,Yes,Clubhouse,West,Owner,Under_Construction
Narsingi,Independent House,5,4020,116.58,0.03,2021,Furnished,20,7,4,2,6,Medium,No,No,"Playground, Clubhouse, Pool, Gym, Garden",South,Broker,Ready_to_Move
Gachibowli,Apartment,2,2316,253.82,0.11,2015,Unfurnished,23,27,10,6,5,Medium,Yes,No,"Garden, Gym, Clubhouse",West,Broker,Under_Construction
Gachibowli,Apartment,2,2144,278.4,0.13,2023,Furnished,19,18,2,4,5,High,No,Yes,"Pool, Gym, Playground, Garden, Clubhouse",North,Broker,Ready_to_Move
Jubilee Hills,Apartment,4,4031,338.35,0.08,2005,Furnished,30,15,20,9,3,High,No,Yes,"Pool, Playground, Clubhouse, Garden, Gym",East,Owner,Ready_to_Move
Jubilee Hills,Villa,2,4845,32.78,0.01,1995,Furnished,25,13,30,5,9,Medium,No,Yes,Clubhouse,East,Builder,Under_Construction
Raidurg,Apartment,3,4911,179.05,0.04,1993,Furnished,11,28,32,8,6,Low,Yes,Yes,Gym,South,Broker,Ready_to_Move
Film Nagar,Villa,1,3057,232.24,0.08,2015,Unfurnished,22,11,10,4,7,Medium,No,Yes,Pool,North,Owner,Ready_to_Move
Khanapur,Villa,1,3307,102.73,0.03,2012,Unfurnished,1,11,13,9,5,High,Yes,Yes,"Garden, Pool",East,Builder,Under_Construction
Khanapur,Apartment,1,899,85.08,0.09,1997,Furnished,10,28,28,7,1,Low,Yes,Yes,"Garden, Gym, Playground, Pool",South,Owner,Ready_to_Move
Financial District,Villa,5,4281,120.73,0.03,2010,Unfurnished,27,15,15,9,1,Medium,Yes,No,"Pool, Playground",South,Broker,Ready_to_Move
Somajiguda,Independent House,3,4846,88.39,0.02,1993,Furnished,6,2,32,2,3,High,Yes,No,"Clubhouse, Pool, Garden, Playground",South,Broker,Under_Construction
Jubilee Hills,Apartment,2,1295,358.82,0.28,1998,Semi-furnished,21,10,27,6,5,Low,Yes,No,"Pool, Playground, Clubhouse, Garden, Gym",West,Owner,Ready_to_Move
Somajiguda,Apartment,5,764,271.35,0.36,2012,Furnished,29,12,13,9,4,Low,Yes,No,"Garden, Clubhouse, Playground, Gym, Pool",South,Builder,Under_Construction
Jubilee Hills,Apartment,3,3875,144.02,0.04,2018,Unfurnished,17,26,7,6,3,Medium,Yes,No,"Pool, Garden",East,Builder,Under_Construction
Jubilee Hills,Independent House,2,3691,315.34,0.09,2017,Furnished,29,5,8,10,8,Medium,No,Yes,Garden,West,Owner,Ready_to_Move
Jubilee Hills,Independent House,1,4410,347.23,0.08,2007,Unfurnished,10,6,18,10,9,Medium,No,No,"Pool, Playground, Gym",East,Owner,Ready_to_Move
Jubilee Hills,Independent House,4,4079,272.74,0.07,2016,Semi-furnished,22,6,9,10,1,Low,Yes,No,"Playground, Garden",East,Broker,Under_Construction
Narsingi,Villa,3,3397,245.91,0.07,1997,Furnished,7,22,28,6,2,Medium,No,Yes,"Pool, Garden, Clubhouse, Playground, Gym",South,Owner,Ready_to_Move
Nanakramguda,Apartment,3,4255,189.32,0.04,1993,Semi-furnished,1,15,32,7,4,Medium,No,Yes,"Playground, Clubhouse, Gym, Pool, Garden",East,Broker,Under_Construction
Kavuri Hills,Villa,3,3226,480.1,0.15,1998,Unfurnished,22,15,27,2,8,Medium,Yes,No,"Clubhouse, Playground",North,Builder,Under_Construction
Somajiguda,Independent House,1,4239,44.73,0.01,2017,Unfurnished,21,14,8,6,10,Low,No,No,"Garden, Clubhouse, Playground, Pool",North,Builder,Under_Construction
Somajiguda,Apartment,1,2458,448.81,0.18,1995,Furnished,7,23,30,3,10,Medium,Yes,Yes,"Gym, Clubhouse",South,Broker,Ready_to_Move
Somajiguda,Independent House,1,1694,450.47,0.27,1992,Furnished,18,15,33,8,2,Low,No,No,"Clubhouse, Playground, Gym, Pool, Garden",South,Owner,Ready_to_Move
Madhapur,Independent House,5,2309,140.3,0.06,2016,Unfurnished,6,3,9,7,2,Medium,No,Yes,"Pool, Clubhouse",West,Owner,Ready_to_Move
Financial District,Villa,3,3323,182.26,0.05,2010,Furnished,9,5,15,10,7,Medium,No,Yes,"Pool, Playground, Clubhouse",West,Owner,Under_Construction
Gachibowli,Independent House,2,2782,228.25,0.08,2018,Semi-furnished,10,21,7,2,4,High,Yes,No,"Clubhouse, Pool, Garden",West,Owner,Under_Construction
Gachibowli,Villa,3,3768,359.23,0.1,2011,Unfurnished,12,16,14,6,4,High,No,No,Gym,East,Builder,Under_Construction
Somajiguda,Apartment,1,3630,387.27,0.11,1999,Furnished,1,2,26,4,4,Medium,Yes,No,"Playground, Pool, Gym, Clubhouse, Garden",North,Broker,Under_Construction
Nanakramguda,Villa,4,2914,480.58,0.16,1993,Furnished,8,10,32,3,5,Medium,Yes,No,"Pool, Playground, Garden",West,Broker,Under_Construction
Banjara Hills,Independent House,3,807,175.64,0.22,2022,Furnished,4,9,3,2,6,Low,Yes,No,"Gym, Garden, Playground, Clubhouse, Pool",East,Builder,Ready_to_Move
Hitech City,Villa,1,1537,273.67,0.18,2014,Unfurnished,30,1,11,10,8,Medium,Yes,No,Playground,North,Owner,Under_Construction
Hitech City,Villa,2,3198,315.5,0.1,2017,Semi-furnished,16,10,8,8,1,Medium,Yes,Yes,"Playground, Gym, Clubhouse",West,Broker,Under_Construction
Kokapet,Apartment,4,1292,153.41,0.12,2007,Furnished,24,3,18,5,8,Low,Yes,No,"Gym, Clubhouse, Pool",East,Broker,Ready_to_Move
Somajiguda,Apartment,5,3220,149.28,0.05,1994,Unfurnished,30,14,31,6,1,Low,No,Yes,Clubhouse,North,Owner,Ready_to_Move
Begumpet,Independent House,5,3852,38.74,0.01,2010,Semi-furnished,5,2,15,2,9,Low,Yes,No,"Gym, Playground, Pool, Clubhouse",East,Owner,Under_Construction
Kokapet,Apartment,2,2605,445.51,0.17,2002,Unfurnished,18,27,23,7,4,High,Yes,No,"Pool, Clubhouse, Playground",South,Builder,Ready_to_Move
Jubilee Hills,Villa,4,4037,317.84,0.08,1995,Semi-furnished,21,16,30,9,5,Medium,No,No,"Garden, Pool, Gym",North,Owner,Ready_to_Move
Narsingi,Villa,5,4215,387.92,0.09,2022,Furnished,9,23,3,2,9,Low,No,No,"Playground, Pool, Clubhouse, Gym",East,Broker,Ready_to_Move
Gachibowli,Apartment,5,2235,75.0,0.03,2000,Semi-furnished,18,30,25,1,5,High,No,No,"Gym, Pool",West,Owner,Under_Construction
Hitech City,Apartment,2,1952,395.74,0.2,2015,Furnished,7,2,10,3,9,Medium,Yes,No,Pool,South,Builder,Ready_to_Move
Kavuri Hills,Villa,1,3100,261.58,0.08,2016,Semi-furnished,17,4,9,5,10,Medium,Yes,Yes,"Playground, Clubhouse",East,Owner,Ready_to_Move
Kokapet,Apartment,4,4680,259.84,0.06,2007,Furnished,8,28,18,5,3,Low,No,Yes,Pool,North,Builder,Under_Construction
Kavuri Hills,Apartment,4,1190,80.4,0.07,2023,Unfurnished,25,8,2,9,1,Low,Yes,No,"Gym, Garden, Clubhouse, Playground",North,Owner,Ready_to_Move
Banjara Hills,Villa,4,3884,378.98,0.1,1991,Unfurnished,14,23,34,2,6,Medium,Yes,No,"Pool, Garden, Playground",East,Owner,Ready_to_Move
Somajiguda,Apartment,1,3124,12.18,0.0,2010,Unfurnished,15,10,15,8,5,Low,Yes,No,"Playground, Garden, Pool, Clubhouse, Gym",North,Broker,Under_Construction
Financial District,Independent House,2,3654,117.9,0.03,2010,Furnished,1,13,15,1,3,Medium,Yes,Yes,"Clubhouse, Garden",East,Builder,Ready_to_Move
Kokapet,Apartment,4,1529,72.41,0.05,2014,Furnished,13,9,11,7,10,Medium,Yes,Yes,"Garden, Clubhouse, Pool",South,Owner,Ready_to_Move
Financial District,Villa,3,4756,170.04,0.04,2019,Semi-furnished,13,1,6,4,3,Medium,Yes,No,"Pool, Clubhouse",North,Broker,Under_Construction
Hitech City,Independent House,3,2262,156.68,0.07,2010,Furnished,24,24,15,6,6,Low,Yes,No,"Clubhouse, Playground, Gym, Garden",North,Builder,Ready_to_Move
Narsingi,Independent House,1,4347,93.91,0.02,2020,Semi-furnished,18,10,5,7,10,Low,No,Yes,Clubhouse,East,Builder,Ready_to_Move
Film Nagar,Villa,4,3862,483.7,0.13,2013,Unfurnished,3,1,12,6,2,High,No,Yes,"Garden, Playground, Pool, Gym",South,Broker,Ready_to_Move
Somajiguda,Villa,5,4257,235.24,0.06,1992,Semi-furnished,20,25,33,2,4,Medium,No,No,"Pool, Playground, Clubhouse, Gym",West,Broker,Ready_to_Move
Somajiguda,Villa,1,3676,57.83,0.02,2020,Furnished,19,28,5,1,9,Low,No,Yes,"Pool, Clubhouse, Playground",East,Owner,Under_Construction
Gachibowli,Villa,3,2116,30.95,0.01,1990,Semi-furnished,22,7,35,1,9,Medium,No,No,"Gym, Garden, Clubhouse, Pool",West,Owner,Under_Construction
Hitech City,Apartment,1,2618,483.13,0.18,2002,Semi-furnished,4,12,23,2,9,Low,No,No,"Pool, Clubhouse, Playground, Gym, Garden",West,Builder,Ready_to_Move
Begumpet,Independent House,1,1295,178.06,0.14,2011,Furnished,8,6,14,2,5,High,Yes,Yes,"Garden, Gym, Playground, Clubhouse",West,Broker,Under_Construction
Financial District,Villa,2,1659,202.27,0.12,2012,Unfurnished,4,5,13,7,3,High,No,No,Gym,West,Owner,Ready_to_Move
Jubilee Hills,Villa,3,1374,369.89,0.27,2000,Semi-furnished,26,16,25,10,6,High,Yes,No,"Pool, Clubhouse",West,Owner,Under_Construction
Hitech City,Apartment,2,4714,232.64,0.05,2014,Unfurnished,11,22,11,2,2,High,Yes,Yes,Playground,North,Owner,Under_Construction
Narsingi,Apartment,3,589,151.31,0.26,2001,Semi-furnished,10,19,24,9,2,High,No,Yes,"Playground, Pool, Gym, Garden, Clubhouse",East,Builder,Ready_to_Move
Nanakramguda,Apartment,1,632,271.34,0.43,2007,Furnished,24,10,18,5,6,Medium,No,No,"Playground, Garden, Pool, Gym, Clubhouse",East,Owner,Under_Construction
Somajiguda,Independent House,1,2047,294.83,0.14,2003,Furnished,23,2,22,5,10,High,No,No,Clubhouse,North,Builder,Under_Construction
Financial District,Villa,5,1033,312.54,0.3,2012,Unfurnished,22,19,13,8,4,High,No,Yes,Garden,North,Broker,Ready_to_Move
Narsingi,Apartment,5,1449,393.55,0.27,2005,Unfurnished,9,27,20,1,3,Medium,Yes,No,"Gym, Pool",North,Builder,Under_Construction
Jubilee Hills,Independent House,4,508,94.38,0.19,1993,Unfurnished,6,5,32,9,3,Medium,Yes,No,Playground,East,Builder,Under_Construction
Raidurg,Apartment,1,3041,71.83,0.02,2019,Furnished,2,23,6,2,3,High,No,No,"Clubhouse, Playground",South,Builder,Ready_to_Move
Banjara Hills,Independent House,3,1887,225.86,0.12,1999,Furnished,26,23,26,6,4,Medium,Yes,Yes,Playground,West,Owner,Ready_to_Move
Narsingi,Apartment,4,2728,207.14,0.08,2011,Semi-furnished,14,29,14,10,5,Medium,Yes,Yes,"Gym, Pool, Playground, Garden, Clubhouse",South,Builder,Under_Construction
Nanakramguda,Apartment,3,1323,79.81,0.06,2005,Semi-furnished,17,14,20,1,7,Medium,No,Yes,"Garden, Playground, Gym",North,Broker,Under_Construction
Somajiguda,Independent House,5,1509,358.48,0.24,2015,Semi-furnished,10,6,10,10,8,Medium,Yes,No,"Playground, Gym, Garden, Pool",South,Builder,Ready_to_Move
Kokapet,Apartment,5,1566,69.06,0.04,2005,Semi-furnished,30,14,20,6,2,Medium,No,Yes,"Clubhouse, Pool, Gym, Garden",South,Builder,Under_Construction
Kokapet,Independent House,4,3456,493.47,0.14,2015,Furnished,24,19,10,6,7,High,No,No,Playground,South,Broker,Ready_to_Move
Narsingi,Independent House,1,4300,346.82,0.08,2011,Semi-furnished,4,12,14,5,4,Low,Yes,Yes,"Garden, Clubhouse, Gym, Playground",South,Broker,Ready_to_Move
Gachibowli,Apartment,2,1325,385.06,0.29,2022,Furnished,16,2,3,1,8,Low,Yes,No,"Playground, Garden, Gym, Clubhouse",East,Owner,Ready_to_Move
Banjara Hills,Villa,3,2010,290.3,0.14,2018,Semi-furnished,12,9,7,1,6,High,No,Yes,"Playground, Garden, Clubhouse, Pool",West,Broker,Ready_to_Move
Film Nagar,Independent House,1,2408,321.07,0.13,2014,Semi-furnished,15,16,11,7,5,High,No,No,"Garden, Playground",West,Builder,Ready_to_Move
Hitech City,Apartment,2,1311,97.29,0.07,2008,Semi-furnished,20,13,17,10,7,High,Yes,No,"Playground, Clubhouse, Pool, Garden",North,Builder,Under_Construction
Madhapur,Villa,5,2361,209.24,0.09,2022,Furnished,26,27,3,6,7,Medium,Yes,Yes,"Pool, Playground, Gym, Garden",East,Builder,Ready_to_Move
Gachibowli,Apartment,1,4461,26.33,0.01,2004,Semi-furnished,25,11,21,6,8,Low,Yes,Yes,"Clubhouse, Gym",East,Broker,Ready_to_Move
Kokapet,Villa,2,2187,216.4,0.1,2022,Semi-furnished,15,18,3,10,3,Medium,No,Yes,"Clubhouse, Playground, Garden",North,Owner,Ready_to_Move
Financial District,Villa,5,3976,377.16,0.09,2023,Semi-furnished,8,21,2,7,3,High,No,Yes,Clubhouse,West,Builder,Ready_to_Move
Kokapet,Independent House,4,3366,296.11,0.09,2017,Semi-furnished,15,25,8,9,2,Low,No,No,"Clubhouse, Pool",West,Broker,Ready_to_Move
Hitech City,Apartment,2,3933,307.07,0.08,2005,Unfurnished,8,4,20,9,4,Low,No,No,"Clubhouse, Playground, Pool",North,Builder,Under_Construction
Raidurg,Villa,3,1893,295.97,0.16,2001,Unfurnished,26,29,24,3,7,High,No,Yes,"Pool, Garden",West,Broker,Under_Construction
Raidurg,Villa,2,1261,263.76,0.21,2010,Semi-furnished,24,10,15,5,5,Low,No,Yes,"Clubhouse, Garden, Pool, Gym",South,Broker,Under_Construction
Khanapur,Villa,5,3062,71.51,0.02,2015,Unfurnished,16,8,10,4,9,Low,No,Yes,"Pool, Playground, Garden, Clubhouse, Gym",North,Broker,Ready_to_Move
Kokapet,Villa,5,2328,31.46,0.01,2008,Furnished,0,8,17,2,2,High,Yes,No,"Garden, Clubhouse, Playground",South,Builder,Under_Construction
Narsingi,Villa,2,1946,396.39,0.2,2023,Semi-furnished,10,21,2,4,4,Low,Yes,Yes,"Pool, Gym, Garden, Playground",East,Broker,Ready_to_Move
Banjara Hills,Villa,3,2937,11.69,0.0,2006,Semi-furnished,23,14,19,7,5,Low,No,Yes,"Garden, Gym, Pool, Clubhouse",South,Builder,Under_Construction
Kavuri Hills,Apartment,5,1931,464.75,0.24,1994,Semi-furnished,3,23,31,4,5,High,Yes,Yes,"Playground, Garden, Clubhouse, Pool, Gym",South,Builder,Ready_to_Move
Film Nagar,Apartment,3,4047,152.86,0.04,2008,Unfurnished,8,27,17,6,1,Low,Yes,No,Playground,South,Owner,Under_Construction
Somajiguda,Independent House,5,1774,52.21,0.03,2008,Furnished,27,29,17,8,5,Medium,Yes,No,Gym,North,Builder,Ready_to_Move
Gachibowli,Independent House,2,4836,123.77,0.03,2015,Semi-furnished,13,12,10,5,8,Medium,No,Yes,"Clubhouse, Pool",West,Broker,Ready_to_Move
Madhapur,Apartment,3,1604,181.81,0.11,2007,Furnished,24,26,18,5,10,High,No,Yes,"Pool, Clubhouse",East,Owner,Ready_to_Move
